No.,Time,Source,Destination,Protocol,Length,Info,,
7,2.5362153,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=347/23297, ttl=128 (reply in 8)",,COUN
8,2.5720178,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=347/23297, ttl=113 (request in 7)",,
9,3.5460335,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=348/23553, ttl=128 (reply in 10)",,
10,3.5904939,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=348/23553, ttl=113 (request in 9)",,
11,4.5594633,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=349/23809, ttl=128 (reply in 12)",,
12,4.5929503,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=349/23809, ttl=113 (request in 11)",,601
15,5.574256,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=350/24065, ttl=128 (reply in 16)",,2.5362153
16,5.6147587,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=350/24065, ttl=113 (request in 15)",,
19,6.5844744,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=351/24321, ttl=128 (reply in 21)",,
21,6.6226087,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=351/24321, ttl=113 (request in 19)",,
55,7.5958882,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=352/24577, ttl=128 (reply in 56)",,
56,7.6291805,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=352/24577, ttl=113 (request in 55)",,
58,8.6058345,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=353/24833, ttl=128 (reply in 59)",,
59,8.6389826,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=353/24833, ttl=113 (request in 58)",,
62,9.6182738,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=354/25089, ttl=128 (reply in 63)",,
63,9.6544072,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=354/25089, ttl=113 (request in 62)",,
67,10.6300436,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=355/25345, ttl=128 (reply in 68)",,
68,10.6621387,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=355/25345, ttl=113 (request in 67)",,
71,11.6376714,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=356/25601, ttl=128 (reply in 72)",,
72,11.6715779,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=356/25601, ttl=113 (request in 71)",,
73,12.6459189,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=357/25857, ttl=128 (reply in 74)",,
74,12.6786345,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=357/25857, ttl=113 (request in 73)",,
75,13.6611946,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=358/26113, ttl=128 (reply in 76)",,
76,13.6942087,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=358/26113, ttl=113 (request in 75)",,
77,14.6725917,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=359/26369, ttl=128 (reply in 78)",,
78,14.7078808,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=359/26369, ttl=113 (request in 77)",,
81,15.6790664,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=360/26625, ttl=128 (reply in 82)",,
82,15.7134263,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=360/26625, ttl=113 (request in 81)",,
83,16.6944522,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=361/26881, ttl=128 (reply in 84)",,
84,16.7278754,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=361/26881, ttl=113 (request in 83)",,
85,17.7117695,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=362/27137, ttl=128 (reply in 86)",,
86,17.7452238,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=362/27137, ttl=113 (request in 85)",,
91,18.717718,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=363/27393, ttl=128 (reply in 92)",,
92,18.7544643,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=363/27393, ttl=113 (request in 91)",,
95,19.7327067,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=364/27649, ttl=128 (reply in 96)",,
96,19.7655202,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=364/27649, ttl=113 (request in 95)",,
97,20.7518119,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=365/27905, ttl=128 (reply in 98)",,
98,20.8002034,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=365/27905, ttl=113 (request in 97)",,
99,21.7599488,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=366/28161, ttl=128 (reply in 100)",,
100,21.8213163,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=366/28161, ttl=113 (request in 99)",,
101,22.7788751,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=367/28417, ttl=128 (reply in 102)",,
102,22.812304,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=367/28417, ttl=113 (request in 101)",,
103,23.7900177,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=368/28673, ttl=128 (reply in 104)",,
104,23.8232224,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=368/28673, ttl=113 (request in 103)",,
105,24.800619,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=369/28929, ttl=128 (reply in 106)",,
106,24.8333926,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=369/28929, ttl=113 (request in 105)",,
114,25.8108368,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=370/29185, ttl=128 (reply in 115)",,
115,25.843941,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=370/29185, ttl=113 (request in 114)",,
116,26.8234398,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=371/29441, ttl=128 (reply in 117)",,
117,26.8568738,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=371/29441, ttl=113 (request in 116)",,
118,27.8294728,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=372/29697, ttl=128 (reply in 119)",,
119,27.8653556,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=372/29697, ttl=113 (request in 118)",,
126,28.8364001,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=373/29953, ttl=128 (reply in 127)",,
127,28.8854696,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=373/29953, ttl=113 (request in 126)",,
131,29.842362,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=374/30209, ttl=128 (reply in 132)",,
132,29.8770664,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=374/30209, ttl=113 (request in 131)",,
134,30.852575,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=375/30465, ttl=128 (reply in 135)",,
135,30.8857815,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=375/30465, ttl=113 (request in 134)",,
137,31.8640653,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=376/30721, ttl=128 (reply in 138)",,
138,31.9005643,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=376/30721, ttl=113 (request in 137)",,
145,32.8744516,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=377/30977, ttl=128 (reply in 146)",,
146,32.9072961,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=377/30977, ttl=113 (request in 145)",,
150,33.8815974,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=378/31233, ttl=128 (reply in 151)",,
151,33.9163656,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=378/31233, ttl=113 (request in 150)",,
154,34.8980953,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=379/31489, ttl=128 (reply in 155)",,
155,34.9505132,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=379/31489, ttl=113 (request in 154)",,
156,35.9163516,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=380/31745, ttl=128 (reply in 157)",,
157,35.9560543,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=380/31745, ttl=113 (request in 156)",,
158,36.9269117,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=381/32001, ttl=128 (reply in 159)",,
159,36.9598568,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=381/32001, ttl=113 (request in 158)",,
160,37.9410812,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=382/32257, ttl=128 (reply in 161)",,
161,37.973942,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=382/32257, ttl=113 (request in 160)",,
162,38.9556619,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=383/32513, ttl=128 (reply in 163)",,
163,38.9879586,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=383/32513, ttl=113 (request in 162)",,
165,39.9634535,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=384/32769, ttl=128 (reply in 166)",,
166,39.9963996,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=384/32769, ttl=113 (request in 165)",,
198,40.9685505,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=385/33025, ttl=128 (reply in 199)",,
199,41.0016757,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=385/33025, ttl=113 (request in 198)",,
200,41.9759179,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=386/33281, ttl=128 (reply in 201)",,
201,42.008727,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=386/33281, ttl=113 (request in 200)",,
204,42.9824243,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=387/33537, ttl=128 (reply in 205)",,
205,43.0152081,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=387/33537, ttl=113 (request in 204)",,
206,43.9886131,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=388/33793, ttl=128 (reply in 207)",,
207,44.0231061,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=388/33793, ttl=113 (request in 206)",,
208,45.0063874,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=389/34049, ttl=128 (reply in 209)",,
209,45.0389323,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=389/34049, ttl=113 (request in 208)",,
211,46.0240752,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=390/34305, ttl=128 (reply in 212)",,
212,46.0640492,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=390/34305, ttl=113 (request in 211)",,
213,47.0344772,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=391/34561, ttl=128 (reply in 214)",,
214,47.097083,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=391/34561, ttl=113 (request in 213)",,
215,48.0517865,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=392/34817, ttl=128 (reply in 216)",,
216,48.0982124,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=392/34817, ttl=113 (request in 215)",,
217,49.0596836,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=393/35073, ttl=128 (reply in 219)",,
219,49.1018583,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=393/35073, ttl=113 (request in 217)",,
221,50.0669591,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=394/35329, ttl=128 (reply in 222)",,
222,50.1233123,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=394/35329, ttl=113 (request in 221)",,
223,51.0768396,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=395/35585, ttl=128 (reply in 230)",,
230,51.1110654,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=395/35585, ttl=113 (request in 223)",,
237,52.0870709,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=396/35841, ttl=128 (reply in 238)",,
238,52.1201373,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=396/35841, ttl=113 (request in 237)",,
239,53.0974729,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=397/36097, ttl=128 (reply in 240)",,
240,53.1308093,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=397/36097, ttl=113 (request in 239)",,
244,54.1085682,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=398/36353, ttl=128 (reply in 245)",,
245,54.1422129,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=398/36353, ttl=113 (request in 244)",,
246,55.1200825,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=399/36609, ttl=128 (reply in 247)",,
247,55.1531761,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=399/36609, ttl=113 (request in 246)",,
250,56.1307596,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=400/36865, ttl=128 (reply in 251)",,
251,56.1634492,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=400/36865, ttl=113 (request in 250)",,
252,57.1372479,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=401/37121, ttl=128 (reply in 253)",,
253,57.1815542,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=401/37121, ttl=113 (request in 252)",,
254,58.1586526,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=402/37377, ttl=128 (reply in 255)",,
255,58.3335382,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=402/37377, ttl=113 (request in 254)",,
256,59.1729293,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=403/37633, ttl=128 (reply in 257)",,
257,59.2223844,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=403/37633, ttl=113 (request in 256)",,
258,60.1847609,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=404/37889, ttl=128 (reply in 259)",,
259,60.2518049,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=404/37889, ttl=113 (request in 258)",,
260,61.194351,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=405/38145, ttl=128 (reply in 261)",,
261,61.2341397,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=405/38145, ttl=113 (request in 260)",,
270,62.205458,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=406/38401, ttl=128 (no response found!)",,
285,67.184382,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=407/38657, ttl=128 (reply in 287)",,
287,67.2392509,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=407/38657, ttl=113 (request in 285)",,
346,68.1922696,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=408/38913, ttl=128 (reply in 355)",,
355,68.225359,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=408/38913, ttl=113 (request in 346)",,
410,69.2056506,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=409/39169, ttl=128 (reply in 411)",,
411,69.2418201,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=409/39169, ttl=113 (request in 410)",,
428,70.2176792,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=410/39425, ttl=128 (reply in 429)",,
429,70.2509198,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=410/39425, ttl=113 (request in 428)",,
433,71.2273363,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=411/39681, ttl=128 (reply in 434)",,
434,71.2627064,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=411/39681, ttl=113 (request in 433)",,
442,72.2466012,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=412/39937, ttl=128 (reply in 443)",,
443,72.2796507,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=412/39937, ttl=113 (request in 442)",,
444,73.2522807,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=413/40193, ttl=128 (reply in 445)",,
445,73.2853642,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=413/40193, ttl=113 (request in 444)",,
446,74.2669443,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=414/40449, ttl=128 (reply in 447)",,
447,74.300865,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=414/40449, ttl=113 (request in 446)",,
449,75.278316,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=415/40705, ttl=128 (reply in 450)",,
450,75.3141429,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=415/40705, ttl=113 (request in 449)",,
451,76.2947502,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=416/40961, ttl=128 (reply in 452)",,
452,76.3284161,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=416/40961, ttl=113 (request in 451)",,
453,77.3139033,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=417/41217, ttl=128 (reply in 454)",,
454,77.3467049,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=417/41217, ttl=113 (request in 453)",,
455,78.327248,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=418/41473, ttl=128 (reply in 456)",,
456,78.3608106,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=418/41473, ttl=113 (request in 455)",,
465,79.3343143,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=419/41729, ttl=128 (reply in 466)",,
466,79.3684732,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=419/41729, ttl=113 (request in 465)",,
467,80.3414657,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=420/41985, ttl=128 (reply in 468)",,
468,80.3752543,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=420/41985, ttl=113 (request in 467)",,
469,81.3551874,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=421/42241, ttl=128 (reply in 470)",,
470,81.3900368,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=421/42241, ttl=113 (request in 469)",,
473,82.3678686,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=422/42497, ttl=128 (reply in 474)",,
474,82.4011568,216.239.38.120,192.168.2.137,ICMP,74,"Echo (ping) reply    id=0x0001, seq=422/42497, ttl=113 (request in 473)",,
477,83.3900114,192.168.2.137,216.239.38.120,ICMP,74,"Echo (ping) request  id=0x0001, seq=423/42753, ttl=128 (reply in 478)",,
